Company Name,Officer Ages
Palantir Technologies Inc.,"[55, 55, 38, 37, 39, 39, 39, 38, 73]"
"Tilray Brands, Inc.","[64, 52, 56, 49]"
"Tesla, Inc.","[50, 41, 44, 43, 46]"
"Lucid Group, Inc.","[63, 48, 54, 48]"
Apple Inc.,"[61, 59, 58, 58, 55]"
NIO Inc.,"[48, 49, 41, 58, 52, 53]"
"Advanced Micro Devices, Inc.","[52, 62, 60, 52, 59, 56, 59]"
"Amazon.com, Inc.","[58, 54, 58, 58, 55, 55, 57]"
"Rivian Automotive, Inc.","[38, 40, 39, 53, 49, 53, 54]"
Ford Motor Company,"[65, 60, 56, 56, 57, 59, 56, 52, 52]"
Bank of America Corporation,"[63, 53, 55, 62, 57, 50, 50, 48]"
AT&T Inc.,"[59, 58, 52, 53, 56, 43, 43, 70, 50]"
"Medical Properties Trust, Inc.","[58, 67, 65, 49, 51]"
NVIDIA Corporation,"[59, 55, 67, 55, 67, 53, 61, 63]"
"AMC Entertainment Holdings, Inc.","[67, 57, 53, 59, 53, 56, 39, 56]"
Intel Corporation,"[61, 53, 50, 57, 48, 64, 51]"
Itaú Unibanco Holding S.A.,"[46, 48, 47, 44, 48, 50, 54, 45]"
Johnson & Johnson,"[59, 55, 51, 58, 50, 64, 56, 51]"
Vale S.A.,"[58, 44, 59, 42, 58, 53, 60]"
"SoFi Technologies, Inc.","[66, 53, 37, 49, 42, 51, 73, 36, 49]"
"Marathon Digital Holdings, Inc.","[61, 47, 61, 42, 43]"
"Datadog, Inc.","[45, 48, 47, 62, 50, 41, 41]"
Lloyds Banking Group plc,"[51, 54, 48, 59, 56, 59, 56]"
DISH Network Corporation,"[69, 52, 53, 62, 44, 69, 55, 56]"
American Airlines Group Inc.,"[58, 57, 57, 65, 47, 47]"
Opendoor Technologies Inc.,"[39, 51, 43, 42, 51, 51, 36]"
Southwestern Energy Company,"[63, 51, 57, 51, 44, 44, 46, 52]"
Pfizer Inc.,"[60, 64, 57, 64, 56, 55, 54, 53, 56]"
Hewlett Packard Enterprise Company,"[55, 57, 58, 64, 54, 45, 59]"
JetBlue Airways Corporation,"[55, 49, 40, 46, 47, 40]"
