AAPL Volume,PLTR Volume,TLRY Volume,TSLA Volume,LCID Volume,NIO Volume,AMD Volume,AMZN Volume,RIVN Volume,F Volume,BAC Volume,T Volume,MPW Volume,NVDA Volume,AMC Volume,INTC Volume,ITUB Volume,JNJ Volume,VALE Volume,SOFI Volume,MARA Volume,DDOG Volume,LYG Volume,DISH Volume,AAL Volume,OPEN Volume,SWN Volume,PFE Volume,HPE Volume,JBLU Volume
46347300,46300900.0,12202900.0,131283400,72430500.0,38589900.0,58347200,40761000,48833700.0,58488600,68376400,27298300,5741200,38051400,28284600,38313000,13010500,4547500,17979100,42722400.0,50628000,2717400.0,4042600,9290800,20315700,38306500.0,25487700,26284900,8779800,10709400
68749800,26174800.0,6631600.0,170222100,19553600.0,35906300.0,55861100,56750300,38244700.0,66868200,56482100,27130900,16682300,43393300,19003300,59765000,71057500,9890000,24061300,41786800.0,36159700,6681500.0,5849100,6515700,12348700,22883800.0,16145100,23393600,15543500,6071500
77034200,27830900.0,12088000.0,157777300,22489800.0,40863800.0,37127000,62401200,17181800.0,39232200,28198900,26204200,7982900,31049000,18450800,31030100,10561600,4216600,16455900,28240200.0,9615000,2186700.0,4014100,2984300,19002800,21507400.0,13152300,11396200,9396400,7481100
124925300,47454800.0,11862200.0,67726600,12259300.0,39341300.0,81664100,59479600,12381000.0,71688200,42294100,63932700,24995300,56563800,16557000,43821000,40633500,8985200,54426300,33884400.0,20135100,4006100.0,22843200,4709200,30111400,11036300.0,30628900,22962300,13870500,13191800
98964500,33636400.0,23981700.0,94600500,13188800.0,53074100.0,105368600,97679400,11633000.0,59238200,46312300,37655700,11457100,68607000,25348300,35141000,60478100,10777200,37964600,27760700.0,10706100,4417300.0,11398500,3417700,37521400,10892200.0,63826300,33495700,13551500,11031000
103049300,22840000.0,44694600.0,48992700,17399100.0,77641400.0,147004800,59966000,12740900.0,52529400,67902500,69574611,4946100,52344000,89239000,43698300,50398300,11490400,29515000,33702800.0,8306200,3879700.0,7344700,2499100,33338200,10247400.0,36818700,26055200,10402900,7313500
64062300,23556000.0,20258500.0,40733700,19562000.0,67569200.0,49448100,47830000,5814900.0,51899600,24253900,59608069,3246800,26653000,23408000,16319000,13036900,4409500,11319200,30798200.0,8982500,1286900.0,3317700,1357500,20657000,4558000.0,15201700,28579600,4315900,5776200
89056700,59505600.0,20291000.0,53868000,46844000.0,25768500.0,57636700,56848000,,78820500,47410800,58751838,6923600,22100900,102819800,20534100,32396076,6972300,42957800,38688800.0,6362900,2229700.0,6599900,1663400,24079400,7977500.0,28092000,21103300,19163700,7491600
63261400,28957100.0,25452600.0,56774700,19647200.0,92031100.0,70721500,48080000,,72213500,29159800,43623814,4219900,32656800,59020600,29891600,34845487,6151700,23643800,27479600.0,9633700,1769800.0,3201000,1810900,26231800,8389900.0,9285200,21248100,7333900,11348900
118323800,61458500.0,20987000.0,100011900,15298900.0,98298400.0,43659500,61878000,,60456900,49270000,59981040,4189200,31477600,29832300,33013200,51348959,8281500,26083700,2665300.0,35148800,5213900.0,3663700,3495500,29800300,7994200.0,11790700,26582700,11860200,6771200
99116600,39922500.0,8200000.0,148949700,1266200.0,129344300.0,24930700,59144000,,40176500,28716000,51135925,1993700,19242400,28234300,28576800,9965523,5099900,8228600,,36916400,1743500.0,2896500,2679000,57891100,3811300.0,15867100,30796500,5700700,7854700
142675200,338584400.0,4738900.0,144436800,546200.0,183530500.0,51533700,97922000,,55944600,56226100,51752777,5330500,68918400,2515400,27711300,21018864,8487700,27303800,,2040900,28819000.0,5908300,2560900,65428100,2636200.0,13715800,22629275,8426600,9254000
140223200,,7208500.0,253777500,,84485500.0,42275700,75394000,,61909300,61716200,57979814,3248900,36789200,3653400,31542100,30411972,7738300,21777400,,1905700,2752200.0,5727500,3193700,69607700,395400.0,9602400,25451676,10092000,13335000
197002000,,26464400.0,266572500,,30261400.0,83483700,102472000,,231800800,95213700,92432942,6481600,94996000,3637100,48074700,36470179,15746100,34289000,,99200,3221700.0,12608600,4078300,44851400,,18026100,29466151,9300000,10213600
100805600,,5559000.0,154285500,,215008600.0,31673200,50130000,,32342100,29630100,26766646,3760100,23100400,3279000,14432900,4547173,4435000,8207600,,140100,1460200.0,3124300,1946100,4396800,,17481200,15175703,7338500,3468400
103909600,,1294500.0,88197000,,58815600.0,37295600,52894000,,21510000,39191000,37524676,2662000,18618400,1297100,13652100,8887408,6552100,12819500,,39100,1385000.0,3715600,1756100,5109800,,20723600,17205391,11141900,3743800
124442400,,978100.0,102771000,,17640300.0,50090900,60748000,,37551600,101856900,53981201,5442300,39766800,2543800,26646200,20961247,12792400,13853000,,461500,,5785100,2627800,5238500,,20808600,39726209,20533100,5656500
94256000,,784800.0,89869500,,23595900.0,53502800,66416000,,33962800,83446300,41847006,5302700,45689600,751100,18736100,30045767,7168400,23143400,,59975,,7689100,2050600,6980800,,16458800,21681834,9937300,4397500
140014000,,1540000.0,94534500,,8667400.0,84732200,139090000,,57816000,56257300,69988626,2794600,46514000,1246800,20490400,9049223,7409900,9599600,,126250,,13897000,3636000,5334700,,20961700,20534028,6453800,3884600
91717600,,9996500.0,504745500,,21813600.0,165453500,81702000,,30987200,74707600,29197113,2868200,70939600,1827000,46223500,29771751,6638500,17512700,,158225,,6914200,2317700,5030600,,26202900,15454591,12488000,5990400
90950800,,,97386000,,,41527800,90870000,,44718500,102307600,55645999,1920800,39230000,999000,28906500,17618764,7308700,13056200,,132125,,4193000,2194100,6032100,,14634500,20974705,11694500,5608900
153594000,,,227560500,,,48681400,251622000,,39864000,65678300,36494868,2954900,91662800,1431500,45265800,16638236,6119400,23227100,,248425,,3125600,2246300,3074100,,18732600,24804731,16009600,2528900
